76+76	\boxed{174}
14+57	\boxed{73}
44+45	\boxed{111}
53+52	\boxed{125}
32+71	\boxed{123}
54+52	\boxed{126}
31+61	\boxed{112}
75+41	\boxed{136}
36+33	\boxed{71}
57+44	\boxed{123}
60+57	\boxed{137}
75+25	\boxed{122}
61+23	\boxed{104}
22+77	\boxed{121}
11+37	\boxed{50}
14+54	\boxed{70}
61+55	\boxed{136}
73+74	\boxed{167}
41+56	\boxed{117}
20+71	\boxed{111}
66+74	\boxed{162}
53+73	\boxed{146}
66+54	\boxed{142}
47+65	\boxed{134}
45+73	\boxed{140}
20+64	\boxed{104}
36+70	\boxed{126}
12+73	\boxed{105}
63+51	\boxed{134}
61+43	\boxed{124}
60+60	\boxed{140}
56+51	\boxed{127}
74+13	\boxed{107}
14+36	\boxed{52}
24+37	\boxed{63}
72+63	\boxed{155}
70+72	\boxed{162}
72+34	\boxed{126}
17+62	\boxed{101}
17+66	\boxed{105}
54+65	\boxed{141}
77+34	\boxed{133}
65+52	\boxed{137}
64+46	\boxed{132}
71+13	\boxed{104}
65+23	\boxed{110}
27+46	\boxed{75}
16+76	\boxed{114}
70+27	\boxed{117}
47+50	\boxed{117}
17+34	\boxed{53}
77+16	\boxed{115}
21+72	\boxed{113}
16+66	\boxed{104}
60+71	\boxed{151}
74+32	\boxed{126}
17+76	\boxed{115}
41+74	\boxed{135}
24+55	\boxed{101}
30+77	\boxed{127}
67+66	\boxed{155}
32+26	\boxed{60}
24+35	\boxed{61}
75+61	\boxed{156}
36+52	\boxed{110}
36+75	\boxed{133}
57+45	\boxed{124}
75+17	\boxed{114}
35+62	\boxed{117}
26+71	\boxed{117}
44+47	\boxed{113}
73+41	\boxed{134}
73+17	\boxed{112}
73+52	\boxed{145}
13+46	\boxed{61}
32+17	\boxed{51}
26+66	\boxed{114}
57+65	\boxed{144}
77+43	\boxed{142}
53+15	\boxed{70}
65+75	\boxed{162}
12+74	\boxed{106}
52+76	\boxed{150}
54+67	\boxed{143}
30+77	\boxed{127}
32+72	\boxed{124}
77+36	\boxed{135}
50+51	\boxed{121}
61+66	\boxed{147}
73+36	\boxed{131}
77+76	\boxed{175}
53+70	\boxed{143}
60+62	\boxed{142}
44+74	\boxed{140}
76+46	\boxed{144}
24+65	\boxed{111}
27+71	\boxed{120}
62+75	\boxed{157}
40+57	\boxed{117}
47+11	\boxed{60}
52+65	\boxed{137}
15+26	\boxed{43}
77+10	\boxed{107}
57+55	\boxed{134}
61+64	\boxed{145}
72+44	\boxed{136}
61+53	\boxed{134}
16+45	\boxed{63}
73+45	\boxed{140}
71+10	\boxed{101}
21+76	\boxed{117}
72+60	\boxed{152}
77+46	\boxed{145}
17+75	\boxed{114}
64+15	\boxed{101}
73+75	\boxed{170}
21+60	\boxed{101}
35+60	\boxed{115}
53+72	\boxed{145}
27+17	\boxed{46}
25+37	\boxed{64}
34+55	\boxed{111}
26+22	\boxed{50}
73+33	\boxed{126}
40+72	\boxed{132}
50+41	\boxed{111}
61+26	\boxed{107}
36+62	\boxed{120}
56+35	\boxed{113}
13+45	\boxed{60}
60+46	\boxed{126}
16+65	\boxed{103}
31+52	\boxed{103}
77+42	\boxed{141}
76+42	\boxed{140}
27+32	\boxed{61}
37+61	\boxed{120}
77+57	\boxed{156}
74+52	\boxed{146}
47+17	\boxed{66}
73+56	\boxed{151}
46+41	\boxed{107}
64+34	\boxed{120}
73+51	\boxed{144}
11+74	\boxed{105}
35+13	\boxed{50}
72+16	\boxed{110}
74+32	\boxed{126}
53+51	\boxed{124}
46+64	\boxed{132}
37+32	\boxed{71}
21+61	\boxed{102}
46+57	\boxed{125}
24+37	\boxed{63}
66+27	\boxed{115}
45+40	\boxed{105}
44+27	\boxed{73}
13+15	\boxed{30}
61+66	\boxed{147}
50+34	\boxed{104}
63+24	\boxed{107}
21+47	\boxed{70}
65+42	\boxed{127}
36+66	\boxed{124}
27+62	\boxed{111}
55+23	\boxed{100}
27+36	\boxed{65}
47+43	\boxed{112}
73+43	\boxed{136}
50+40	\boxed{110}
21+72	\boxed{113}
30+62	\boxed{112}
64+75	\boxed{161}
47+16	\boxed{65}
57+44	\boxed{123}
67+25	\boxed{114}
25+14	\boxed{41}
60+21	\boxed{101}
76+63	\boxed{161}
56+53	\boxed{131}
51+75	\boxed{146}
37+34	\boxed{73}
13+75	\boxed{110}
36+37	\boxed{75}
51+17	\boxed{70}
47+16	\boxed{65}
47+41	\boxed{110}
72+43	\boxed{135}
41+76	\boxed{137}
56+12	\boxed{70}
27+22	\boxed{51}
74+35	\boxed{131}
